Bis, The End Starts Today
Titus Andronicus, Titus Andronicus
Cloud Nothings, I'm Not Part Of Me
Jeff Rosenstock, All This Useless Energy
Car Seat Headrest, Bodys
Pardoner, Future of Music
Mannequin Pussy, Aching
The Clash, I'm So Bored with the U.S.A.
Ramones, Bonzo Goes to Bitburg
Stiff Little Fingers, Barbed Wire Love
Generation X, Dancing with Myself
Vampire Weekend, A-Punk
TV on the Radio, Wolf Like Me
Soft Kill, Wanting War
Nothing, Bent Nail
Cold Cave, She Reigns Down
NESYA, Delulu
Xeno &amp; Oaklander, Magic of the Manifold
Van Halen, Runnin' with the Devil
Pet Shop Boys, West End Girls (Shep Pettibone Mastermix)
Karl Bartos, Musica Ex Machina
Tears for Fears, Everybody Wants to Rule the World
Toro y Moi, Ordinary Pleasure
SAULT, Why Why Why Why Why
Cut Copy, Standing In The Middle Of The Field
Enya, Orinoco Flow
Fleetwood Mac, Everywhere
Talking Heads, This Must Be the Place (Naive Melody)
LCD Soundsystem, Home
Bacao Rhythm &amp; Steel Band, Dirt Off Your Shoulder
Aidan Noell &amp; Nancy Whang, Sharevari
Hot Chip, Eleanor
Florence + the Machine, You've Got the Love (feat. The xx) [Jamie xx Rework]
Echo &amp; The Bunnymen, Lips Like Sugar (12" Mix)
Erasure, Chains of Love
Alphaville, Red Rose (Single Version '88)
The Communards, Never Can Say Goodbye
The Communards, Never Can Say Goodbye (Shep Pettibone Extended Remix)
Prince &amp; The Revolution, I Would Die 4 U
Tegan &amp; Sara, Closer
The Midnight, Brooklyn. Friday. Love.
Baricentro, Tittle Tattle (Twice)
Peter Fernandez and Keith Messier, Popcorn
Blasterjaxx &amp; Timmy Trumpet, Narco
Darude, Sandstorm
Tatami, Okajima Oki-Doki
The Prodigy, Public Enemy &amp; Manfred Mann, Shut 'Em Up
Johnny Cash, God's Gonna Cut You Down
Moby, Run On
T'Pau, Heart and Soul (Single Version)
Class Actress, Weekend
Shuggie Otis, Strawberry Letter 23
Enigma, Sadeness, Pt. I (Radio Edit)
Sarah McLachlan, Possession
Deep Forest, Sweet Lullaby
Shanice, I Love Your Smile
Enigma, Return to Innocence
Hudson Mohawke, Cbat
Lil Nas X, THATS WHAT I WANT
One Direction, What Makes You Beautiful
Bacao Rhythm &amp; Steel Band, Love Like This (45 Edit)
Belleruche, Minor Swing
LaBrassBanda, Wot! (feat. Captain Sensible)
Yello, The Race
Lisette Melendez, Together Forever (Original Version)
Jane Inc., 2120
DJ Crook Air, Usher Foley
OutKast, The Whole World (feat. Killer Mike)
MUNA, Number One Fan (Sofi Tukker Remix)
Technotronic, Get Up (Before the Night Is Over)
The Rapture, How Deep Is Your Love?
Daft Punk, Harder Better Faster Stronger (Neptunes Remix)
New Order, Shellshock (John Robie Remix) [Substance Edit]
Limahl, NeverEnding Story (Giorgio Mix 7")
Utah Saints, What Can You Do For Me
The KLF, Last Train To Trancentral (LP Mix)
LMFAO, I'm In New Bedford Trick
Fedde Le Grand, Put Your Hands Up for Detroit (Radio Edit)
Giorgio Moroder, Night Drive
Daft Punk, The Prime Time of Your Life
Nicki Minaj, Anaconda
Run-DMC, It's Tricky
The Sugarhill Gang, Apache (7” Single Version)
The Weeknd, Can't Feel My Face
Chuck Mangione, Cannonball Run Theme
Chris Isaak, Wicked Game
Janelle Monáe, Dirty Computer (feat. Brian Wilson)
Bill Withers, Lovely Day
Dionne Warwick, (There's) Always Something There To Remind Me (LP Version)
Cynthia Fee, The Golden Girls ("Thank You For Being A Friend")
Bobby Darin, Beyond the Sea
Guided By Voices, Motor Away
Fleetwood Mac, Dreams
Quincy Jones, Sanford &amp; Son Theme (The Streetbeater)
Michael Jackson, Billie Jean
Manos Hadjidakis, Waltzing With My Shadow
Miles Davis &amp; Quincy Jones, Introduction by Claude Nobs and Quincy Jones
Miles Davis &amp; Quincy Jones, Boplicity
Ghost Funk Orchestra, Totality
Shuggie Otis, Strawberry Letter 23
Interview, Shuggie Otis on Quincy Jones
The Brothers Johnson, Strawberry Letter 23
Prod by Rose, Strawberry
Sloan, Raspberry
Eno, Burning Airlines Give You So Much More
Stereolab, Harmonium
Tunde Adebimpe, Magnetic
Curve, What A Waste (feat Ian Dury)
The Herbaliser, Mrs Chombee Takes the Plunge (DJ Food re-bake)
Hank Mobley, Me 'n You
Quincy Jones, Soul Bossa Nova
Lesley Gore, You Don’t Own Me
Khruangbin, So We Won’t Forget
Primus, The Ol’ Diamondback Sturgeon (Fisherman’s Chronicles, Part 3)
Liza Albright, The Race
Yard Act, When the Laughter Stops
Rootz Lions feat. Hornsman Coyote &amp; King Cooper, Dubwise Rebirth
Sonny Rollins, St. Thomas
Roy Ayers, Funk in the Hole
Joi, We Need Your Vote
Goat, Goatbrain
Amyl and the Sniffers, Big Dreams
Ginger Root, Loretta (日本語 version)
Interview, Quincy Jones on Frank Sinatra
Frank Sinatra &amp; Count Basie, Fly Me to the Moon (In Other Words)
Dizzy Gillespie, No More Blues (Chega de Saudade)
DJ Mike F., Intro bust/talkover #1
Seaweed, Antilyrical
Virvon Varvon, Corner Seat
Embrace, Building
Sapling, A Fox Upon The Tomb
Pays P., Vassili Voir
DJ Mike F., talkover #2
The Big Bay, Before The Rain Comes
Wet The Rope, Alarms Are Obsolete
Catching Hell, Twilight Mind
Julie Ruin, Oh Come On
Kommune, Immigrato
DJ Mike F., talkover #3
Erik Nervous, Comfortable
World Heroes, Presque Isle
Porcelain, Frozen Sea
Taqbir, Al-Zuki Akbar
Victory At Sea, Old Plans
Golden City, Cars In Space
Orbit, Purge
Krill, Turd
The Modern Lovers, Government Center
Fountains of Wayne, Stacy's Mom
Jennifer Trynin, Better Than Nothing
King Gizzard &amp; The Lizard Wizard, Blue Morpho
The Boo Radleys, Lazarus
Yeasayer, I Am Chemistry
Julee Cruise, Summer Kisses, Winter Tears
Erasure, Oh L'Amour
Wang Chung, Fire In The Twilight
Major Stars, Spun Around
Jane's Addiction, Classic Girl
Ghost Woman, Do You
The Sunshine Fix, Future History and the Irrelevance of Time
Minnie Riperton, Les Fleurs
Pinkshinyultrablast, Honeybee
The Smiths, How Soon is Now?
Hüukx, Time Machine Time: Back to X Night 1999
Depeche Mode, Never Let Me Down Again
James, Laid
The Clash, Train in Vain
Duran Duran, Rio
Sex Pistols, Anarchy in the U.K.
Violent Femmes, Blister in the Sun
Adam Ant, Goody Two Shoes
Ministry, (Everyday is) Halloween
The Cult, She Sells Sanctuary
Hüukx, The Final Two Hours of the Night: Midnight til 2:00 AM
M, Pop Muzik
Prince &amp; The Revolution, Kiss
INXS, New Sensation
New Order, True Faith '94
Front 242, Headhunter
The Sisters of Mercy, Lucretia My Reflection
My Life With the Thrill Kill Kult, Sex on Wheelz
Devo, Whip It
The B-52's, Private Idaho
Hüukx, Second Floor of Axis: Best Sound System I Ever Spun Through
Beastie Boys, Hey Ladies
Digital Underground, The Humpty Dance
Jane's Addiction, Been Caught Stealing
Guns n' Roses, Mr. Brownstone
Nine Inch Nails, Closer
Ministry, Revenge
Soft Cell, Tainted Love
Men Without Hats, The Safety Dance
Tones on Tail, Go!
The Cure, Just Like Heaven
Ramones, I Wanna Be Sedated
Hüukx, See You Next Month With More Hüukx!
Blur, Song 2
Otis Redding, Cigarettes and Coffee
Camara and The Come Ons, Cry Baby
Barrett Strong, Money (That's What I Want)
The White Stripes, St. James Infirmary Blues
The Marvelettes, Please Mr. Postman
Ko &amp; The Knockouts, Twistin Postman
The Ronettes, Be My Baby
The Ramones, Baby, I Love You
The Beatles, Twist and Shout
The Detroit Cobras, Bye Bye Baby
Sam Cooke, Chain Gang
The Dirtbombs, Chains of Love
Marvin Gaye, What's Going On
Lady Wray, Piece Of Me
Aretha Franklin, The House That Jack Built
Sharon Jones &amp; The Dap-Kings, What Have You Done For Me Lately?
The Temptations, Ball of Confusion (That's What The World Is Today)
The Raconteurs, Salute Your Solution
MC5, The American Ruse
The Von Bondies, Poison Ivy
The Bob Seger System, Down Home
The Paybacks, Love Letter
The Rationals, Something's Gotta Hold on Me
Soledad Brothers, Shakey Puddin'
The Isley Brothers, Nobody But Me (Alternate Version)
The Gories, Cry Girl
Sly &amp; The Family Stone, Dance To The Music
King Khan and the Shrines, Don't Walk Away Mad
Stevie Wonder, Uptight (Everything's Alright)
The BellRays, California
Mitch Ryder and The Detroit Wheels, Rock &amp; Roll
The Dollyrots, Da Doo Ron Ron / I Wanna Be Sedated
The Contours, Do You Love Me
Bruce Springsteen, Detroit Medley: Devil with the Blue Dress On / Good Golly Miss Molly / C.C. Rider / Jenny Take A Ride Live at Madison Square Garden, New York, NY 9/21/1979
Alien Fashion Show, Detroit Swing City
Leyla Blue, Fuck Yourself
Fencer, All I Do
Jack White, Bless Yourself
Love &amp; Rockets, Ball Of Confusion
The Cure, Endsong
The Cure, A Fragile Thing (live on BBC2)
Matthew Sweet, Girlfriend
Lenny Kravitz, Fly Away
Fishbone, Racist POS
They Might Be Giants, Your Racist Friend
Some Guy, I'm Trans And Coming Out Song
THOT Squad ft Stephanie Hunter, Hoes Depressed
Jungle Pussy, Bling Bling
The Linda Lindas, No Obligation
Kid Ink, Get You High Today
Nirvana, Love Buzz
Rage Against The Machine, People Of The Sun
Ryder B, I Wanna Be Your Dog (live)
Kiss, Black Diamond (live)
Metallica ft Lady Gaga, Moth To The Flame (live)
Antonio Sanchez ft Trent Reznor &amp; Atticus Ross, I Think We're Past That Now
Trent Reznor &amp; Atticus Ross, Compress Regress
Memphis May Fire, Infection
Die Antwoord &amp; Leo Marochioli, Fatty Boom Boom
A Perfect Circle, The Doomed
Pixies, Here Comes Your Man
The Silver Seas, Imaginary Girl
Men At Work, Overkill
Mark Hanson, A Shot In the Dark
Gordon Lightfoot, The Wreck of the Edmund Fitzgerald
The Moody Blues, The Story In Your Eyes
Modest Mouse, Dark Center Of The Universe
Eels, Novocaine for the Soul
Soul Coughing, Supra Genius
Moby, Go (Radio Edit)
Underworld, Shudder / King of Snake
Still Corners, The Trip
College, A Real Hero (f. Electric Youth)
The Cure, A Forest (Tree Mix)
Cocteau Twins, Carolyn’s Fingers
Jose Gonzalez, Teardrop
Pink Floyd, Goodbye Blue Sky
Pink Floyd, Empty Spaces
Pink Floyd, Young Lust
Jane's Addiction, I Would for You
Mike Doughty, train to chicago (live at the iron horse 3.27.3) (Edit)
Soltero, Communist Love Song
Bobby Darin, Come September
The Statler Brothers, Flowers On The Wall
Jason Aldean, Amarillo Sky
R.E.M., Strange Currencies (Remix)
The Magnetic Fields, If You Don't Cry
Billy Bragg, Never Cross a Picket Line
Johnny Cash, Man In Black
The Mountain Goats, Wear Black
Joy Division, Love Will Tear Us Apart (Pennine Version)
U2, 11 O'Clock Tick Tock
T. Rex, Mambo Sun
David Bowie, Moonage Daydream
The Strokes, Call It Fate, Call It Karma
The Beatles, Oh! Darling
MS MR, Hurricane
Daft Punk, Beyond
The Avalanches, Since I Left You
Nate Dogg &amp; Warren G, Regulate
YACHT, I Thought The Future Would Be Cooler
Missy Elliott, WTF (Where They From) [feat. Pharrell Williams]
Beyoncé, Formation
Sir Mix-A-Lot, Baby Got Back
Logic, 100 Miles and Running (feat. Wale &amp; John Lindahl)
Ok Go, White Knuckles
Man Parrish, Hip Hop Be Bop (Don't Stop) [Original Recording]
Talking Heads, I Zimbra
Colourbox, Pump Up the Volume (USA 12" Mix)
Robyn, Dancing On My Own
Hot Chip, She Wolf
Ed Shepp, Partydance
!!!, Take Ecstasy With Me
Cracker, This Is Cracker Soul
Pixies, Down To The Well
The Misfits, We Are 138
The Police, Can't Stand Losing You
Doug Adams and Kirk McElhearn, The Next Track No. 294
Grateful Dead, Box of Rain
Cream, Crossroads
Graham Central Station, The Jam
Stanley Clarke, School Days
Doug Adams and Kirk McElhearn, The Next Track Podcast Out
Janet Jackson, Escapade
Tony! Toni! Toné!, Feels Good
Kesha, Raising Hell (feat. Big Freedia)
Harry Nilsson, Gotta Get Up
XTC, Vanishing Girl
They Might Be Giants, I'll Sink Manhattan
Bongwater, Kisses Sweeter than Wine
Lee "Scratch" Perry, Having a Party
The Rockin' Rebels, Wild Weekend
The Beach Boys, Surfer Girl
The Remains, Why Do I Cry
The Who, The Kids Are Alright (Mono)
U2, The Refugee
New Order, Sub-culture (Substance Edit)
Christopher Cross, Ride Like the Wind
Kenny Loggins, This Is It
The Doobie Brothers, What a Fool Believes
Sade, Smooth Operator (7" Version)
Dionne Warwick, Solid Gold
Donna Summer, Last Dance (Single Version)
Marvin Gaye, Mercy Mercy Me (The Ecology)
Siouxsie &amp; The Banshees, Cities In Dust
R.E.M., Cuyahoga
Talking Heads, (Nothing But) Flowers
Black Pumas, Politicians in My Eyes
The The, Slow Emotion Replay
Buffalo Springfield, For What It's Worth
The Clash, The Guns of Brixton
Pink Floyd, Pigs (Three Different Ones)
Black Sabbath, War Pigs / Luke's Wall
Londonbeat, I've Been Thinking About You
Rock The Vote, Rock The Vote
The Linda Lindas, Vote!
Sheer Mag, Expect The Bayonet
The Replacements, Election Day
Radiohead, Electioneering
The Psychedelic Furs, President Gas
Remastered, Clampdown
Bob Mould, American Crisis
Black Sabbath, War Pigs
The Kids, Fascist Cops
Billy Bragg,Wilco, All You Fascists
The Stooges, T.V. Eye
Violent Femmes, Promise
Sonic Youth, Youth Against Fascism
Mission Of Burma, That's When I Reach for My Revolver
Vundabar, Tonight I'm Wearing Silk
St. Lucia, Elevate
Gorillaz, Stylo (Album Version) (Feat. Mos Def and Bobby Womack)
3rd Bass, Pop Goes the Weasel (Radio Edit)
Positive K, I Got A Man
Skee-lo, I Wish
Beastie Boys, Hey Ladies
De La Soul, Buddy (feat. Jungle Brothers &amp; Q-Tip)
Underworld, Bruce Lee
The Cure, Lullaby
Public Service Broadcasting, London Can Take It
CSS, Music Is My Hot, Hot Sex
PHO, Kodesh
Baricentro, Tittle Tattle
Stevie Nicks, Stand Back
Duran Duran, Notorious (45 Mix)
Happy Mondays, 24 Hour Party People
New Order, The Perfect Kiss
The Stone Roses, Made of Stone
The Police, Walking On The Moon
Led Zeppelin, D'yer Mak'er
Bob Marley, Waiting In Vain
Split Enz, I Got You
Squeeze, Pulling Mussels (From the Shell)
Talking Heads, Wild Wild Life
Vulfpeck, Conscious Club (Instrumental)
Battles, Atlas
The Strokes, Take It Or Leave It
The Hives, Hate to Say I Told You So
The Darkness, I Believe In A Thing Called Love
Yeasayer, 2080
Vampire Weekend, Oxford Comma
Eleanor Friedberger, Roosevelt Island
The Mountain Goats, Andrew Eldritch Is Moving Back To Leeds
Niterunner, Stay Tonight
Still Corners, Black Lagoon
Westerman, Easy Money
The Mary Onettes, Cola Falls
The Tragically Hip, Ahead By a Century
Chuck Mangione, Cannonball Run Theme
Marla Gibbs, 227 ("There's No Place Like Home")
Tee Vee Toons, One Day At A Time
Bobby Darin, Beyond the Sea
INXS, Don't Change
Class Actress, Keep You
Big Audio Dynamite, I Turned Out A Punk
Pulp, Disco 2000
U2, The Fly
The Cramps, Human Fly
Wire, I Am The Fly
Three 6 Mafia feat. Young Buck and Eightball &amp; MJG, Stay Fly (Clean Album Version)
Space, Magic Fly
Soul Coughing, Bus To Beelzebub
Flea, I've Been Down
Laurie Anderson, Language Is a Virus
T. Rex, Monolith
Wesley Willis, Liz Phair
The Coasters, Brazil
Hallelujah The Hills, Born to Blow It
Fleabite, Boom Boom Boom
Kiss, Parasite
Brian Eno, Needles In The Camel's Eye
LDS, It's Hard To Live With A Lie
The Fire Engines, Fascist Groove Thing (Peel Session)
Roxy Music, Do the Strand
Giorgio Moroder, Chase
blink-182, Dammit
Poison, Unskinny Bop
Faith No More, From Out Of Nowhere
Black Sabbath, Paranoid
Cream, White Room (Album Version)
Soundgarden, Jesus Christ Pose
The Misfits, Return of the Fly
Bad Company, Bad Company
Jay Ferguson, Shakedown Cruise
Charlie Sexton, Beat's So Lonely
The Hold Steady, Atlantic City
JEFF the Brotherhood, Black Cherry Pie
Jan Hammer, Crockett's Theme
Mike Post, Quantum Leap
Epoxies, Need More Time
Blondie, Hanging On The Telephone
Sugar, The Act We Act
Dead Kennedys, Stealing People's Mail
Humans, I Live In The City
The Vandelles, Techromancer
David Bowie, I'm Deranged (Edit)
Pixies, Evil Hearted You
The Zombies, She's Not There
The Rolling Stones, Not Fade Away
The Beatles, She Loves You
The Sonics, Have Love Will Travel
The Leaves, Too Many People
Sniff 'n' The Tears, Driver's Seat
Squeeze, Take Me I'm Yours (Single Edit)
Led Zeppelin, The Song Remains the Same
Chuck Mangione, Cannonball Run Theme
Porno for Pyros, Satellite Of Love
The Velvet Underground, I'm Sticking with You
The Beach Boys, Sloop John B (Mono)
Blur, Parklife
XTC, The Ballad of Peter Pumpkinhead
Too Much Joy, Crush Story
Orleans, Dance with Me
The Paragons, The Tide Is High
Pas/Cal, Little Red Radio
The Other Half, Mr. Pharmacist
Parquet Courts, Normalization
Phosphorescent, Ride On / Right On
Creedence Clearwater Revival, Green River
Stephen Stills, Love The One You're With
Willie Nelson, Maria (Shut Up And Kiss Me)
LCD Soundsystem, Losing My Edge
Oasis, Live Forever
beabadoobee, Beaches
Kelly Finnigan, Love (Your Pain Goes Deep)
Say She She, I Believe In Miracles
Dizzy K, Baby Kilode
Okay Kaya, Check Your Face
The Postal Service &amp; Sylvan Esso, The District Sleeps Alone Tonight (Sylvan Esso Remix)
TV Girl &amp; George Clanton, Summer 2000 Baby
Faith Evans, Back to Love
Zedd &amp; Remi Wolf, Lucky
Clairo, Sexy to Someone
Snooks Eaglin feat. The Robert French Trio, Groove Me
Kali Uchis feat. Steve Lacy &amp; Vince Staples, Only Girl
Busta Rhymes &amp; Mariah Carey feat. Flipmode Squad, I Know What You Want
Kaleida, Think
FIGHTMASTER, Barracuda
Seefeel, Hooked Paw
Herb Alpert, Making Love In the Rain
Slowdive, Alison
The Jesus and Mary Chain, Pop Seeds
Jai Wolf feat. Chain Gang of 1974, Drive
Blondshell, What's Fair
The Last Dinner Party, The Feminine Urge
Sabrina Carpenter, Don’t Smile
Laurent Bardainne &amp; Tigre d'Eau Douce feat. Bertrand Belin, Oiseau
Big Maybelle, 96 Tears
Buffy Sainte-Marie, Sweet September Morning
Angie McMahon, Untangling
The Psychedelic Furs, The Ghost In You
Remy Bond, Don't Go Back To Paris
Katie Gavin, Casual Drug Use
Blues Explosion, Mars, Arizona (DFA Remix)
Florence + the Machine, You've Got the Love (feat. The xx) [Jamie xx Rework]
Still Corners, Whisper
Julee Cruise, Falling
Black Moth Super Rainbow, Sun Lips
Stephin Merritt, Dream Again
Massive Attack, Protection (The Eno Mix)
Shuggie Otis, Strawberry Letter 23
Darondo, Didn't I
Althea &amp; Donna, Uptown Top Ranking
Air, Surfing On a Rocket
Enya, Caribbean Blue
DYAN, Looking For Knives
Soul II Soul, Happiness (Dub)
Martha &amp; The Muffins, Black Stations White Stations (Sir Billy 18 Carat Love Affair Re-Edit) [Balearic Edit]
Duran Duran, Planet Earth
Giorgio Moroder, Night Drive
LCD Soundsystem, Disco Infiltrator
Major Stars, Spun Around
The Echocentrics, Death of a Rockstar (feat. Alex Maas)
Modest Mouse, Dark Center Of The Universe
Jose Gonzalez, Love Will Tear Us Apart
Mark Hanson, A Shot In the Dark
Elvis Presley, Summer Kisses, Winter Tears
Ratt, Round and Round
Dokken, Dream Warriors
Iron Maiden, Powerslave
AC/DC, Who Made Who
Suicidal Tendencies, Institutionalized
Metallica, Welcome Home (Sanitarium)
New Order, Crystal
Dream Traveler, Time (Original Version)
GusGus, Purple (Sasha Vs. The Light)
Detroit Grand Pubahs, Sandwiches (Krafty Kuts Remix)
LCD Soundsystem, Tribulations
New Order, Blue Monday
CAN, I Want More
Brian Eno, I'll Come Running
HOMIE, American Girls
Human Sexual Response, Jackie Onassis
Liz Phair, Dance Of The Seven Veils
The Mountain Goats, Wear Black
R.E.M., Pop Song 89
R.E.M., Exhuming McCarthy
R.E.M., Me In Honey
Iggy Pop, Candy
Sugar, Your Favorite Thing
The Gravel Pit, Favorite
Weezer, My Name Is Jonas
They Might Be Giants, Birdhouse In Your Soul
Cynthia Fee, The Golden Girls ("Thank You For Being A Friend")
Jon Secada, Just Another Day
Fred Rogers, It's Such a Good Feeling
Cass Elliot, Make Your Own Kind of Music (Single Version)
Fleetwood Mac, Temporary One (Live)
Stevie Nicks, Stop Draggin' My Heart Around
The Beta Band, Dry The Rain
Superchunk, Endless Summer
Eddie Hazel, California Dreamin'
Parquet Courts, Before The Water Gets Too High
Dick Dale &amp; The Del-Tones, Let's Go Trippin'
The Rumblers, Surf Rat
The Remains, Don't Look Back
Sugar, Your Favorite Thing
The Cars, Bye Bye Love
XTC, This Is Pop?
13th Floor Elevators, You're Gonna Miss Me (Mono LP Version)
Boston, Foreplay / Long Time
Shania Twain, Man! I Feel Like a Woman!
Taylor Swift, You Belong With Me
The Weeknd, Take My Breath
Robyn, Dancing On My Own
Hot Chip, Over And Over (Radio Edit)
Gorillaz, Stylo (Alex Metric Remix)
*NSYNC, Pop (Radio Version)
Cyndi Lauper, Change of Heart
Prince, I Could Never Take The Place Of Your Man
Phantogram, When I'm Small
Miguel, The Thrill
Mitski, The Only Heartbreaker
Sia, Chandelier
The Soup Dragons, Softly
Porno for Pyros, Tahitian Moon
Gerard McMann, Cry Little Sister (Theme from The Lost Boys)
Blake Babies, Temptation Eyes
The Magnetic Fields, The Desperate Things You Made Me Do
Martina Topley Bird, Crystalised (feat. Mark Lanegan &amp; Warpaint)
White Lies, Big TV
Brian Eno, Little Fishes
Quincy Jones, Something Special
George Benson, Love X Love
Steely Dan, Kid Charlemagne
Sharon Van Etten, Afterlife
The Cure, The End of the World
2nd Grade, Triple Bypass In B-Flat
The Happy Somethings, Bed Friend
Chime School, Taking Time to Tell You
Belle and Sebastian, Me and the Major
Stereolab, Laissez Faire
U.S. Highball, Which Way is Up
Slaughter Beach, Dog, Pretty O.K.
Alanis Morissette, Head over Feet
Pom Pom Squad, Messages
OMBIIGIZI, Street Names and Land Claims
Titus Andronicus, Titus Andronicus
Cloud Nothings, I'm Not Part Of Me
Jeff Rosenstock, All This Useless Energy
Car Seat Headrest, Bodys
Pardoner, Future of Music
Mannequin Pussy, Aching
The Clash, I'm So Bored with the U.S.A.
Ramones, Bonzo Goes to Bitburg
Stiff Little Fingers, Barbed Wire Love
Generation X, Dancing with Myself
Vampire Weekend, A-Punk
TV on the Radio, Wolf Like Me
Soft Kill, Wanting War
Nothing, Bent Nail
Cold Cave, She Reigns Down
NESYA, Delulu
Xeno &amp; Oaklander, Magic of the Manifold
Van Halen, Runnin' with the Devil
The Boomtown Rats, Lookin' After No. 1
The Courettes, California
Julian Cope, World Shut Your Mouth
Dan Baird, On My Way
Hayley and the Crushers, Blood and Treasure
Yeah Yeah Yeahs, Y Control (Brooklyn Fire Retouch)
Little Steven &amp; The Disciples of Soul, Lyin' In a Bed of Fire
Suzi Quatro, 48 Crash
Motorists, Call Control
Huey Lewis &amp; The News, Hip to Be Square
Joni Mitchell, (You're So Square) Baby, I Don't Care
King Crimson, Sleepless
The Jam, All Mod Cons
Camper Van Beethoven, Cowboys from Hollywood
Sham 69, Thats Life
Otoboke Beaver, I Am Not Maternal
Woody Guthrie, Dance Around
The Undertones, Male Model
The Specials, Do the Dog
Saturne, Calypso
The Muffs, Big Mouth
The Donnas, Gimme A Ride
Status Quo, Caroline
Cola, Nice Try
Los Lobos, High Places
Siouxsie &amp; The Banshees, Peek-A-Boo
Social Distortion, Cold Feelings
The Clash, Hitsville U.K.
Radiohead, Karma Police
Outkast ft Zach De La Rocha, BOB (Remix)
Elastica, Never Here
The Rutles, Get Up and Go
Verka Serduchka, Party
Otis Redding, Cigarettes and Coffee
Camara and The Come Ons, Cry Baby
Barrett Strong, Money (That's What I Want)
The White Stripes, St. James Infirmary Blues
The Marvelettes, Please Mr. Postman
Ko &amp; The Knockouts, Twistin Postman
The Ronettes, Be My Baby
The Ramones, Baby, I Love You
The Beatles, Twist and Shout
The Detroit Cobras, Bye Bye Baby
Sam Cooke, Chain Gang
The Dirtbombs, Chains of Love
Marvin Gaye, What's Going On
Lady Wray, Piece Of Me
Aretha Franklin, The House That Jack Built
Sharon Jones &amp; The Dap-Kings, What Have You Done For Me Lately?
The Temptations, Ball of Confusion (That's What The World Is Today)
The Raconteurs, Salute Your Solution
MC5, The American Ruse
The Von Bondies, Poison Ivy
The Bob Seger System, Down Home
The Paybacks, Love Letter
The Rationals, Something's Gotta Hold on Me
Soledad Brothers, Shakey Puddin'
The Isley Brothers, Nobody But Me (Alternate Version)
The Gories, Cry Girl
Sly &amp; The Family Stone, Dance To The Music
King Khan and the Shrines, Don't Walk Away Mad
Stevie Wonder, Uptight (Everything's Alright)
The BellRays, California
Mitch Ryder and The Detroit Wheels, Rock &amp; Roll
The Dollyrots, Da Doo Ron Ron / I Wanna Be Sedated
The Contours, Do You Love Me
Bruce Springsteen, Detroit Medley: Devil with the Blue Dress On / Good Golly Miss Molly / C.C. Rider / Jenny Take A Ride Live at Madison Square Garden, New York, NY 9/21/1979
Alien Fashion Show, Detroit Swing City
Liquid Liquid, Cavern
Army Of Lovers, Crucified
Dead or Alive, Brand New Lover
Curses, Another Heaven
Humanoid, Stakker Humanoid
Bistro Boy, Little Streams
America, Ventura Highway
Ali Thomson, Take A Little Rhythm
Christopher Owens, I Think about Heaven
Shoes, Your Very Eyes
Bistro Boy, Cicadas
Felt, Primitive Painters
Desperate Journalist, Afraid
The Cranberries, Waltzing Back
Cocteau Twins, Heaven or Las Vegas
Bistro Boy, Tails Of The Wind
The Psychedelic Furs, Heaven
The Church, Tantalized
Black Doldrums, Summer Breeze
The Bangles, In A Different Light
bistro boy, Come Slow You Breeze
Dodgy, Good Enough
Blur, Tracy Jacks
Gene, Fighting Fit
Shake Some Action!, Spend Your Days in the Sunshine
The Colour Field, Can't Get Enough Of You Baby
Bistro Boy, Colour Arrows
Dead Kennedys, Too Drunk To Fuck
Human Switchboard, Who's Landing in My Hangar?
PYPY, I Am A Simulation
Von Lmo, this is poprock
Devo, Uncontrollable Urge
Bistro Boy, Lonely Sparkles
Bus Crush, Good to Me
Sports Coach, Drifter
LUCY (Cooper B. Handy), 2nd Wind
THUS LOVE, Get Stable
sequela, Zavander
Layzi, come as you are
slow quit, Step
Drop Nineteens, Daymom
Grumpy, Saltlick
urika's bedroom, Video Music
Hildegard, Pour Your Heart Out
Molina, I am your house
Autre Ne Veut, Itchy Blood (feat. Solvey)
Contour, (re)Turn
Fabiana Palladino, Can You Look In The Mirror?
Elias Rønnenfelt, Worm Grew A Spine
Market, Bigger Problem
lots of hands, game of zeroes
Nitefire, LA's Got Gorgeous
Wishy, Planet Popstar
Man/Woman/Chainsaw, The Boss
Palomino Blond, Left
Chime School, Mercury Girl
Young Scum, See It Through
Allegra Krieger, Never Arriving
Blood, Bone Dry
Chastity Belt, That Guy
Wisp, I remember how your hands felt on mine
piri &amp; tommy, who invited u ?
DJ Seinfeld, Hopecore
SBTRKT, TURN YOUR HEART AROUND
Two Shell, be gentle with me
George Fitzgerald, Gild
Mura Masa, Shuf (Adore U)
umru &amp; Warpstr, Matter of Time
The Hellp, Stunn
Black Ends, Bent
THUS LOVE, House On A Hill
Fake Fruit, Más O Menos
Adore, Supermum!
Vundabar, I Got Cracked
Gut Health, Stiletto
Poise, Delusion
Man/Woman/Chainsaw, The Boss
Celebrity Sighting, Hourglass
It Thing, Persian Rug
Beeef, Narragansett Bay
Lady Pills, Didn't You
UV-TV, The Optimistic Wrench
The Serfs, Regen
Gamma Ray, Struck Down
Iguana Death Cult, Tiny Tears
Fuzz Lightyear, My Body
DJ Mike F., Intro bust/talkover #1
Seaweed, Antilyrical
Virvon Varvon, Corner Seat
Embrace, Building
Sapling, A Fox Upon The Tomb
Pays P., Vassili Voir
